Date,Open,High,Low,Close,Adj Close,Volume
2018-11-12,109.419998,109.959999,106.099998,106.870003,104.032303,33621800
2018-11-13,107.550003,108.739998,106.639999,106.940002,104.100433,35374600
2018-11-14,108.099998,108.260002,104.470001,104.970001,102.624176,39495100
2018-11-15,104.989998,107.800003,103.910004,107.279999,104.882553,38505200
2018-11-16,107.080002,108.879997,106.800003,108.290001,105.869987,33502100
2018-11-19,108.269997,108.559998,103.550003,104.620003,102.282005,44773900
2018-11-20,101.800003,102.970001,99.349998,101.709999,99.437035,64052500
2018-11-21,103.599998,104.430000,102.239998,103.110001,100.805740,28130600
2018-11-23,102.169998,103.809998,102.000000,103.070000,100.766640,13823100
2018-11-26,104.790001,106.629997,104.580002,106.470001,104.090660,32336200
2018-11-27,106.269997,107.330002,105.360001,107.139999,104.745682,29124500
2018-11-28,107.889999,111.330002,107.860001,111.120003,108.636749,46788500
2018-11-29,110.330002,111.120003,109.029999,110.190002,107.727531,28123200
2018-11-30,110.699997,110.970001,109.360001,110.889999,108.411880,33665600
2018-12-03,113.000000,113.419998,110.730003,112.089996,109.585060,34732800
2018-12-04,111.940002,112.639999,108.209999,108.519997,106.094833,45197000
2018-12-06,105.820000,109.239998,105.000000,109.190002,106.749878,49107400
2018-12-07,108.379997,109.449997,104.300003,104.820000,102.477531,45044900
2018-12-10,104.800003,107.980003,103.889999,107.589996,105.185608,40801500
2018-12-11,109.800003,110.949997,107.440002,108.589996,106.163269,42381900
2018-12-12,110.889999,111.269997,109.040001,109.080002,106.642326,36183000
2018-12-13,109.580002,110.870003,108.629997,109.449997,107.004051,31333400
2018-12-14,108.250000,109.260002,105.500000,106.029999,103.660484,47043100
2018-12-17,105.410004,105.800003,101.709999,102.889999,100.590660,56957300
2018-12-18,103.750000,104.510002,102.519997,103.970001,101.646523,49319200
2018-12-19,103.650002,106.879997,101.349998,103.690002,101.372787,68198200
2018-12-20,103.050003,104.309998,98.779999,101.510002,99.241501,70334200
2018-12-21,101.629997,103.000000,97.459999,98.230003,96.034790,111242100
2018-12-24,97.680000,97.970001,93.980003,94.129997,92.026421,43935200
2018-12-26,95.139999,100.690002,93.959999,100.559998,98.312729,51634800
2018-12-27,99.300003,101.190002,96.400002,101.180000,98.918884,49498500
2018-12-28,102.089996,102.410004,99.519997,100.389999,98.146530,38196300
2018-12-31,101.290001,102.400002,100.440002,101.570000,99.300156,33173800
2019-01-02,99.550003,101.750000,98.940002,101.120003,98.860214,35329300
2019-01-03,100.099998,100.190002,97.199997,97.400002,95.223351,42579100
2019-01-04,99.720001,102.510002,98.930000,101.930000,99.652115,44060600
2019-01-07,101.639999,103.269997,100.980003,102.059998,99.779205,35656100
2019-01-08,103.040001,103.970001,101.709999,102.800003,100.502670,31514400
2019-01-09,103.860001,104.879997,103.239998,104.269997,101.939812,32280800
2019-01-10,103.220001,103.750000,102.379997,103.599998,101.284798,30067600
2019-01-11,103.190002,103.440002,101.639999,102.800003,100.502670,28314200
2019-01-14,101.900002,102.870003,101.260002,102.050003,99.769432,28437100
2019-01-15,102.510002,105.050003,101.879997,105.010002,102.663292,31587600
2019-01-16,105.260002,106.260002,104.959999,105.379997,103.025009,29853900
2019-01-17,105.000000,106.629997,104.760002,106.120003,103.748474,28393000
2019-01-18,107.459999,107.900002,105.910004,107.709999,105.302940,37427600
2019-01-22,106.750000,107.099998,104.860001,105.680000,103.318306,32371300
2019-01-23,106.120003,107.040001,105.339996,106.709999,104.325279,25874300
2019-01-24,106.860001,107.000000,105.339996,106.199997,103.826683,23164800
2019-01-25,107.239998,107.879997,106.199997,107.169998,104.775009,31225600
2019-01-28,106.260002,106.480003,104.660004,105.080002,102.731720,29476700
